ies,uf,regiao,status_juridico,ano,dominio,campo,artigos,artigos_fwci1,artigos_nacionais,artigos_abertos,citacoes,citacoes_nacionais
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,Agricultural and Biological Sciences,2,1,0,1,135,4
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,"Biochemistry, Genetics and Molecular Biology",38,15,8,30,1891,14
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Computer Science,4,2,2,4,163,4
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,Decision Sciences,2,1,1,1,75,6
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Dentistry,2,1,1,2,29,2
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,"Economics, Econometrics and Finance",2,1,0,1,92,3
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Environmental Science,2,1,0,2,100,0
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Health Professions,8,4,2,4,291,4
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,Immunology and Microbiology,9,2,2,8,509,3
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Mathematics,1,1,0,1,43,2
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Medicine,295,102,75,221,9518,209
A.C.CAMARGO,SP,Sudeste,Privada,2021,Life Sciences,Neuroscience,3,2,0,2,94,0
A.C.CAMARGO,SP,Sudeste,Privada,2021,Health Sciences,Nursing,2,0,2,2,13,1
A.C.CAMARGO,SP,Sudeste,Privada,2021,Physical Sciences,Physics and Astronomy,2,0,1,2,78,0
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,Psychology,2,1,1,2,38,10
A.C.CAMARGO,SP,Sudeste,Privada,2021,Social Sciences,Social Sciences,6,3,3,4,149,13
A.C.CAMARGO,SP,Sudeste,Privada,2022,Life Sciences,Agricultural and Biological Sciences,3,1,1,3,91,8
A.C.CAMARGO,SP,Sudeste,Privada,2022,Life Sciences,"Biochemistry, Genetics and Molecular Biology",46,13,7,35,2059,19
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Computer Science,2,1,1,2,63,13
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Dentistry,10,4,1,6,303,6
A.C.CAMARGO,SP,Sudeste,Privada,2022,Social Sciences,"Economics, Econometrics and Finance",4,2,0,2,106,2
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Engineering,2,0,1,2,14,0
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Health Professions,7,4,2,7,281,24
A.C.CAMARGO,SP,Sudeste,Privada,2022,Life Sciences,Immunology and Microbiology,10,4,2,8,466,7
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Materials Science,2,1,0,1,37,0
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Mathematics,1,0,0,0,26,1
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Medicine,247,81,68,192,7259,149
A.C.CAMARGO,SP,Sudeste,Privada,2022,Health Sciences,Nursing,1,0,0,1,9,0
A.C.CAMARGO,SP,Sudeste,Privada,2022,Physical Sciences,Physics and Astronomy,1,0,0,0,91,2
A.C.CAMARGO,SP,Sudeste,Privada,2022,Social Sciences,Social Sciences,5,1,4,5,67,22
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,Agricultural and Biological Sciences,1,0,0,1,84,0
A.C.CAMARGO,SP,Sudeste,Privada,2023,Social Sciences,Arts and Humanities,1,0,1,1,16,4
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,"Biochemistry, Genetics and Molecular Biology",38,12,6,34,1328,20
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Chemical Engineering,1,0,1,1,58,20
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Computer Science,5,2,3,4,89,2
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Dentistry,8,5,3,7,217,2
A.C.CAMARGO,SP,Sudeste,Privada,2023,Social Sciences,"Economics, Econometrics and Finance",2,1,0,2,43,2
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Engineering,2,1,0,2,133,0
A.C.CAMARGO,SP,Sudeste,Privada,2023,Physical Sciences,Environmental Science,1,0,1,1,58,20
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Health Professions,9,3,4,8,233,11
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,Immunology and Microbiology,15,4,2,12,598,1
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Medicine,249,86,65,199,8609,201
A.C.CAMARGO,SP,Sudeste,Privada,2023,Life Sciences,Neuroscience,1,0,0,1,0,0
A.C.CAMARGO,SP,Sudeste,Privada,2023,Social Sciences,Psychology,1,0,0,1,1,1
A.C.CAMARGO,SP,Sudeste,Privada,2023,Social Sciences,Social Sciences,10,2,6,10,127,36
A.C.CAMARGO,SP,Sudeste,Privada,2023,Health Sciences,Veterinary,1,0,0,0,2,0
A.C.CAMARGO,SP,Sudeste,Privada,2024,Life Sciences,Agricultural and Biological Sciences,2,0,1,2,44,2
A.C.CAMARGO,SP,Sudeste,Privada,2024,Life Sciences,"Biochemistry, Genetics and Molecular Biology",33,14,7,26,1281,15
A.C.CAMARGO,SP,Sudeste,Privada,2024,Social Sciences,"Business, Management and Accounting",1,0,1,1,1,1
A.C.CAMARGO,SP,Sudeste,Privada,2024,Physical Sciences,Chemistry,2,1,2,2,46,6
A.C.CAMARGO,SP,Sudeste,Privada,2024,Physical Sciences,Computer Science,3,0,2,2,22,6
A.C.CAMARGO,SP,Sudeste,Privada,2024,Social Sciences,Decision Sciences,1,0,1,1,0,0
A.C.CAMARGO,SP,Sudeste,Privada,2024,Health Sciences,Dentistry,6,1,2,4,181,4
A.C.CAMARGO,SP,Sudeste,Privada,2024,Social Sciences,"Economics, Econometrics and Finance",3,0,1,2,20,1
A.C.CAMARGO,SP,Sudeste,Privada,2024,Physical Sciences,Engineering,2,1,1,2,67,2
A.C.CAMARGO,SP,Sudeste,Privada,2024,Health Sciences,Health Professions,8,4,3,8,106,22
A.C.CAMARGO,SP,Sudeste,Privada,2024,Life Sciences,Immunology and Microbiology,7,2,1,5,264,10
A.C.CAMARGO,SP,Sudeste,Privada,2024,Physical Sciences,Mathematics,1,1,0,1,0,0
A.C.CAMARGO,SP,Sudeste,Privada,2024,Health Sciences,Medicine,260,100,53,199,7625,219
A.C.CAMARGO,SP,Sudeste,Privada,2024,Life Sciences,Neuroscience,1,1,0,1,110,1
A.C.CAMARGO,SP,Sudeste,Privada,2024,Health Sciences,Nursing,3,1,0,2,112,0
A.C.CAMARGO,SP,Sudeste,Privada,2024,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",2,1,0,1,135,3
A.C.CAMARGO,SP,Sudeste,Privada,2024,Social Sciences,Psychology,2,1,1,2,82,6
A.C.CAMARGO,SP,Sudeste,Privada,2024,Social Sciences,Social Sciences,13,4,8,12,143,8
A.C.CAMARGO,SP,Sudeste,Privada,2025,Social Sciences,Arts and Humanities,1,0,0,1,0,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Life Sciences,"Biochemistry, Genetics and Molecular Biology",48,18,5,32,1898,32
A.C.CAMARGO,SP,Sudeste,Privada,2025,Physical Sciences,Computer Science,4,2,0,2,81,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Social Sciences,Decision Sciences,1,1,0,1,9,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Health Sciences,Dentistry,4,3,0,3,209,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Social Sciences,"Economics, Econometrics and Finance",5,1,0,5,94,3
A.C.CAMARGO,SP,Sudeste,Privada,2025,Physical Sciences,Engineering,3,1,0,3,54,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Physical Sciences,Environmental Science,1,1,0,1,29,1
A.C.CAMARGO,SP,Sudeste,Privada,2025,Health Sciences,Health Professions,9,8,0,3,182,4
A.C.CAMARGO,SP,Sudeste,Privada,2025,Life Sciences,Immunology and Microbiology,6,1,2,4,167,6
A.C.CAMARGO,SP,Sudeste,Privada,2025,Physical Sciences,Materials Science,2,1,0,1,74,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Health Sciences,Medicine,308,111,56,209,7801,186
A.C.CAMARGO,SP,Sudeste,Privada,2025,Life Sciences,Neuroscience,3,1,1,3,101,1
A.C.CAMARGO,SP,Sudeste,Privada,2025,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",1,0,0,0,0,0
A.C.CAMARGO,SP,Sudeste,Privada,2025,Social Sciences,Psychology,1,0,1,1,5,3
A.C.CAMARGO,SP,Sudeste,Privada,2025,Social Sciences,Social Sciences,8,1,4,7,44,10
ABRASCO,RJ,Sudeste,Privada,2021,Life Sciences,Agricultural and Biological Sciences,4,1,4,4,45,10
ABRASCO,RJ,Sudeste,Privada,2021,Social Sciences,Arts and Humanities,3,1,2,3,25,3
ABRASCO,RJ,Sudeste,Privada,2021,Social Sciences,"Business, Management and Accounting",4,1,1,4,31,3
ABRASCO,RJ,Sudeste,Privada,2021,Physical Sciences,Chemical Engineering,1,1,1,1,0,0
ABRASCO,RJ,Sudeste,Privada,2021,Physical Sciences,Computer Science,11,0,11,11,72,29
ABRASCO,RJ,Sudeste,Privada,2021,Social Sciences,Decision Sciences,1,0,1,1,0,0
ABRASCO,RJ,Sudeste,Privada,2021,Social Sciences,"Economics, Econometrics and Finance",2,0,2,2,40,8
ABRASCO,RJ,Sudeste,Privada,2021,Physical Sciences,Environmental Science,1,0,0,1,8,0
ABRASCO,RJ,Sudeste,Privada,2021,Health Sciences,Health Professions,30,10,27,29,328,176
ABRASCO,RJ,Sudeste,Privada,2021,Physical Sciences,Mathematics,3,2,3,3,44,11
ABRASCO,RJ,Sudeste,Privada,2021,Health Sciences,Medicine,23,6,21,23,459,125
ABRASCO,RJ,Sudeste,Privada,2021,Health Sciences,Nursing,1,0,0,1,28,4
ABRASCO,RJ,Sudeste,Privada,2021,Social Sciences,Psychology,5,2,5,5,77,26
ABRASCO,RJ,Sudeste,Privada,2021,Social Sciences,Social Sciences,37,11,35,37,198,87
ABRASCO,RJ,Sudeste,Privada,2022,Life Sciences,Agricultural and Biological Sciences,2,0,2,2,35,21
ABRASCO,RJ,Sudeste,Privada,2022,Social Sciences,Arts and Humanities,1,0,1,1,0,0
ABRASCO,RJ,Sudeste,Privada,2022,Physical Sciences,Computer Science,2,1,1,2,26,3
ABRASCO,RJ,Sudeste,Privada,2022,Social Sciences,Decision Sciences,2,0,2,2,3,0
ABRASCO,RJ,Sudeste,Privada,2022,Health Sciences,Dentistry,1,0,1,1,23,12
ABRASCO,RJ,Sudeste,Privada,2022,Social Sciences,"Economics, Econometrics and Finance",2,0,1,2,39,13
ABRASCO,RJ,Sudeste,Privada,2022,Physical Sciences,Environmental Science,4,1,3,4,16,12
ABRASCO,RJ,Sudeste,Privada,2022,Health Sciences,Health Professions,31,11,28,31,548,324
ABRASCO,RJ,Sudeste,Privada,2022,Life Sciences,Immunology and Microbiology,2,0,2,2,15,7
ABRASCO,RJ,Sudeste,Privada,2022,Health Sciences,Medicine,20,6,16,19,324,71
ABRASCO,RJ,Sudeste,Privada,2022,Life Sciences,Neuroscience,1,0,1,1,2,0
ABRASCO,RJ,Sudeste,Privada,2022,Health Sciences,Nursing,1,0,1,0,19,9
ABRASCO,RJ,Sudeste,Privada,2022,Social Sciences,Psychology,9,1,4,9,164,36
ABRASCO,RJ,Sudeste,Privada,2022,Social Sciences,Social Sciences,33,7,31,33,352,188
ABRASCO,RJ,Sudeste,Privada,2023,Life Sciences,Agricultural and Biological Sciences,5,2,3,5,83,18
ABRASCO,RJ,Sudeste,Privada,2023,Social Sciences,Arts and Humanities,1,0,1,1,0,0
ABRASCO,RJ,Sudeste,Privada,2023,Physical Sciences,Computer Science,5,1,3,5,32,11
ABRASCO,RJ,Sudeste,Privada,2023,Social Sciences,Decision Sciences,2,0,0,2,7,5
ABRASCO,RJ,Sudeste,Privada,2023,Health Sciences,Dentistry,3,0,2,3,23,4
ABRASCO,RJ,Sudeste,Privada,2023,Social Sciences,"Economics, Econometrics and Finance",1,0,1,1,18,0
ABRASCO,RJ,Sudeste,Privada,2023,Physical Sciences,Environmental Science,6,0,4,6,61,15
ABRASCO,RJ,Sudeste,Privada,2023,Health Sciences,Health Professions,27,4,22,27,215,102
ABRASCO,RJ,Sudeste,Privada,2023,Health Sciences,Medicine,14,1,12,14,229,50
ABRASCO,RJ,Sudeste,Privada,2023,Life Sciences,Neuroscience,1,0,1,1,17,0
ABRASCO,RJ,Sudeste,Privada,2023,Health Sciences,Nursing,1,0,1,1,12,10
ABRASCO,RJ,Sudeste,Privada,2023,Social Sciences,Psychology,9,0,5,9,118,59
ABRASCO,RJ,Sudeste,Privada,2023,Social Sciences,Social Sciences,29,2,14,29,96,60
ABRASCO,RJ,Sudeste,Privada,2024,Life Sciences,Agricultural and Biological Sciences,2,0,2,2,39,1
ABRASCO,RJ,Sudeste,Privada,2024,Social Sciences,Arts and Humanities,2,1,1,2,1,1
ABRASCO,RJ,Sudeste,Privada,2024,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2,0,1,2,22,4
ABRASCO,RJ,Sudeste,Privada,2024,Social Sciences,"Business, Management and Accounting",1,1,0,0,35,11
ABRASCO,RJ,Sudeste,Privada,2024,Social Sciences,Decision Sciences,1,0,0,1,0,0
ABRASCO,RJ,Sudeste,Privada,2024,Physical Sciences,Engineering,1,0,0,1,1,0
ABRASCO,RJ,Sudeste,Privada,2024,Physical Sciences,Environmental Science,4,1,2,3,63,4
ABRASCO,RJ,Sudeste,Privada,2024,Health Sciences,Health Professions,18,1,12,18,76,57
ABRASCO,RJ,Sudeste,Privada,2024,Health Sciences,Medicine,23,2,19,23,246,102
ABRASCO,RJ,Sudeste,Privada,2024,Life Sciences,Neuroscience,1,0,0,1,10,0
ABRASCO,RJ,Sudeste,Privada,2024,Social Sciences,Psychology,3,0,1,3,46,8
ABRASCO,RJ,Sudeste,Privada,2024,Social Sciences,Social Sciences,24,5,15,24,218,113
ABRASCO,RJ,Sudeste,Privada,2025,Life Sciences,Agricultural and Biological Sciences,3,0,3,3,21,10
ABRASCO,RJ,Sudeste,Privada,2025,Life Sciences,"Biochemistry, Genetics and Molecular Biology",3,0,3,3,0,0
ABRASCO,RJ,Sudeste,Privada,2025,Social Sciences,"Business, Management and Accounting",3,0,2,3,26,8
ABRASCO,RJ,Sudeste,Privada,2025,Physical Sciences,Computer Science,4,0,3,4,8,4
ABRASCO,RJ,Sudeste,Privada,2025,Social Sciences,Decision Sciences,2,0,2,2,0,0
ABRASCO,RJ,Sudeste,Privada,2025,Health Sciences,Dentistry,2,0,2,2,35,5
ABRASCO,RJ,Sudeste,Privada,2025,Physical Sciences,Engineering,1,0,0,1,0,0
ABRASCO,RJ,Sudeste,Privada,2025,Physical Sciences,Environmental Science,5,1,3,5,86,8
ABRASCO,RJ,Sudeste,Privada,2025,Health Sciences,Health Professions,21,4,19,21,183,84
ABRASCO,RJ,Sudeste,Privada,2025,Life Sciences,Immunology and Microbiology,1,0,0,0,0,0
ABRASCO,RJ,Sudeste,Privada,2025,Health Sciences,Medicine,17,3,13,16,226,46
ABRASCO,RJ,Sudeste,Privada,2025,Social Sciences,Psychology,4,0,3,4,108,37
ABRASCO,RJ,Sudeste,Privada,2025,Social Sciences,Social Sciences,16,1,13,16,88,46
AFA,SP,Sudeste,Federal,2021,Life Sciences,Agricultural and Biological Sciences,8,2,5,6,194,39
AFA,SP,Sudeste,Federal,2021,Social Sciences,Arts and Humanities,4,0,4,4,4,2
AFA,SP,Sudeste,Federal,2021,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2,0,1,2,50,1
AFA,SP,Sudeste,Federal,2021,Social Sciences,"Business, Management and Accounting",1,0,1,1,2,0
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Chemical Engineering,1,0,0,1,37,5
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Computer Science,1,0,1,1,7,7
AFA,SP,Sudeste,Federal,2021,Social Sciences,"Economics, Econometrics and Finance",1,0,1,1,0,0
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Engineering,6,2,2,3,177,7
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Environmental Science,3,0,3,3,50,14
AFA,SP,Sudeste,Federal,2021,Health Sciences,Health Professions,1,0,0,1,17,3
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Materials Science,1,0,1,1,20,0
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Mathematics,1,1,1,1,0,0
AFA,SP,Sudeste,Federal,2021,Health Sciences,Medicine,20,7,8,13,517,46
AFA,SP,Sudeste,Federal,2021,Life Sciences,Neuroscience,1,1,0,1,31,2
AFA,SP,Sudeste,Federal,2021,Physical Sciences,Physics and Astronomy,2,0,2,2,3,0
AFA,SP,Sudeste,Federal,2021,Social Sciences,Psychology,3,1,1,2,149,2
AFA,SP,Sudeste,Federal,2021,Social Sciences,Social Sciences,19,5,14,19,69,22
AFA,SP,Sudeste,Federal,2021,Health Sciences,Veterinary,1,0,0,1,3,0
AFA,SP,Sudeste,Federal,2022,Life Sciences,Agricultural and Biological Sciences,6,1,4,6,241,50
AFA,SP,Sudeste,Federal,2022,Social Sciences,Arts and Humanities,2,0,2,2,5,4
AFA,SP,Sudeste,Federal,2022,Life Sciences,"Biochemistry, Genetics and Molecular Biology",4,1,1,1,56,7
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Chemistry,1,0,1,1,21,5
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Computer Science,1,0,1,1,19,5
AFA,SP,Sudeste,Federal,2022,Social Sciences,Decision Sciences,1,0,1,1,3,3
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Engineering,1,0,1,1,9,1
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Environmental Science,3,0,3,3,20,6
AFA,SP,Sudeste,Federal,2022,Health Sciences,Health Professions,4,1,1,4,58,31
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Materials Science,1,1,0,0,40,0
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Mathematics,1,1,1,1,1,0
AFA,SP,Sudeste,Federal,2022,Health Sciences,Medicine,16,3,7,11,240,28
AFA,SP,Sudeste,Federal,2022,Life Sciences,Neuroscience,1,1,0,0,31,0
AFA,SP,Sudeste,Federal,2022,Physical Sciences,Physics and Astronomy,1,0,1,1,7,1
AFA,SP,Sudeste,Federal,2022,Social Sciences,Psychology,2,0,1,2,16,1
AFA,SP,Sudeste,Federal,2022,Social Sciences,Social Sciences,9,2,7,9,45,13
AFA,SP,Sudeste,Federal,2023,Life Sciences,Agricultural and Biological Sciences,6,0,3,6,59,7
AFA,SP,Sudeste,Federal,2023,Social Sciences,Arts and Humanities,2,0,1,2,4,3
AFA,SP,Sudeste,Federal,2023,Life Sciences,"Biochemistry, Genetics and Molecular Biology",7,1,1,6,201,3
AFA,SP,Sudeste,Federal,2023,Physical Sciences,Computer Science,1,0,0,1,5,0
AFA,SP,Sudeste,Federal,2023,Social Sciences,Decision Sciences,1,0,1,1,9,5
AFA,SP,Sudeste,Federal,2023,Social Sciences,"Economics, Econometrics and Finance",2,1,1,2,35,1
AFA,SP,Sudeste,Federal,2023,Physical Sciences,Engineering,4,1,2,2,62,2
AFA,SP,Sudeste,Federal,2023,Physical Sciences,Environmental Science,4,0,3,4,50,2
AFA,SP,Sudeste,Federal,2023,Health Sciences,Health Professions,5,0,3,5,115,10
AFA,SP,Sudeste,Federal,2023,Health Sciences,Medicine,26,3,12,21,395,27
AFA,SP,Sudeste,Federal,2023,Life Sciences,Neuroscience,3,0,0,1,87,1
AFA,SP,Sudeste,Federal,2023,Physical Sciences,Physics and Astronomy,1,0,1,1,3,0
AFA,SP,Sudeste,Federal,2023,Social Sciences,Psychology,1,0,1,1,26,2
AFA,SP,Sudeste,Federal,2023,Social Sciences,Social Sciences,20,0,10,20,105,43
AFA,SP,Sudeste,Federal,2024,Life Sciences,Agricultural and Biological Sciences,7,0,5,7,2,0
AFA,SP,Sudeste,Federal,2024,Social Sciences,Arts and Humanities,18,0,17,18,0,0
AFA,SP,Sudeste,Federal,2024,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2,1,0,2,31,1
AFA,SP,Sudeste,Federal,2024,Social Sciences,"Business, Management and Accounting",5,0,4,5,8,4
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Chemistry,2,0,1,2,3,0
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Computer Science,7,0,7,7,15,3
AFA,SP,Sudeste,Federal,2024,Social Sciences,Decision Sciences,37,0,37,37,43,6
AFA,SP,Sudeste,Federal,2024,Health Sciences,Dentistry,2,0,2,2,0,0
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Earth and Planetary Sciences,1,0,1,1,0,0
AFA,SP,Sudeste,Federal,2024,Social Sciences,"Economics, Econometrics and Finance",6,0,6,6,0,0
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Engineering,22,1,18,20,117,11
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Environmental Science,16,2,12,15,192,14
AFA,SP,Sudeste,Federal,2024,Health Sciences,Health Professions,11,1,7,11,146,21
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Materials Science,3,1,2,3,40,0
AFA,SP,Sudeste,Federal,2024,Health Sciences,Medicine,33,5,19,28,411,42
AFA,SP,Sudeste,Federal,2024,Life Sciences,Neuroscience,1,0,0,0,5,0
AFA,SP,Sudeste,Federal,2024,Health Sciences,Nursing,3,0,0,0,0,0
AFA,SP,Sudeste,Federal,2024,Physical Sciences,Physics and Astronomy,2,0,2,2,2,2
AFA,SP,Sudeste,Federal,2024,Social Sciences,Psychology,4,0,4,4,65,18
AFA,SP,Sudeste,Federal,2024,Social Sciences,Social Sciences,112,4,108,112,100,19
AFA,SP,Sudeste,Federal,2025,Life Sciences,Agricultural and Biological Sciences,8,1,1,3,147,12
AFA,SP,Sudeste,Federal,2025,Social Sciences,Arts and Humanities,4,0,3,4,26,12
AFA,SP,Sudeste,Federal,2025,Life Sciences,"Biochemistry, Genetics and Molecular Biology",4,1,2,4,80,3
AFA,SP,Sudeste,Federal,2025,Physical Sciences,Computer Science,1,1,0,0,42,1
AFA,SP,Sudeste,Federal,2025,Social Sciences,Decision Sciences,2,0,2,2,21,2
AFA,SP,Sudeste,Federal,2025,Health Sciences,Dentistry,2,0,0,0,13,0
AFA,SP,Sudeste,Federal,2025,Social Sciences,"Economics, Econometrics and Finance",2,0,0,2,0,0
AFA,SP,Sudeste,Federal,2025,Physical Sciences,Engineering,7,4,1,2,193,2
AFA,SP,Sudeste,Federal,2025,Physical Sciences,Environmental Science,2,0,1,2,0,0
AFA,SP,Sudeste,Federal,2025,Health Sciences,Health Professions,6,0,3,5,81,3
AFA,SP,Sudeste,Federal,2025,Physical Sciences,Materials Science,3,0,0,3,90,4
AFA,SP,Sudeste,Federal,2025,Physical Sciences,Mathematics,2,0,2,2,3,2
AFA,SP,Sudeste,Federal,2025,Health Sciences,Medicine,29,7,11,23,711,59
AFA,SP,Sudeste,Federal,2025,Physical Sciences,Physics and Astronomy,3,1,0,3,3,0
AFA,SP,Sudeste,Federal,2025,Social Sciences,Psychology,4,0,2,4,75,9
AFA,SP,Sudeste,Federal,2025,Social Sciences,Social Sciences,17,1,12,17,64,13
AFA,SP,Sudeste,Federal,2025,Health Sciences,Veterinary,1,0,1,1,0,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Life Sciences,Agricultural and Biological Sciences,8,4,0,4,298,10
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Social Sciences,Arts and Humanities,5,1,3,5,68,5
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Life Sciences,"Biochemistry, Genetics and Molecular Biology",2,0,0,2,52,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Social Sciences,"Business, Management and Accounting",11,1,8,10,280,19
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Physical Sciences,Computer Science,4,1,3,4,21,6
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Social Sciences,Decision Sciences,6,0,4,6,99,21
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Health Sciences,Dentistry,12,6,3,8,325,24
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Physical Sciences,Earth and Planetary Sciences,2,2,0,2,92,1
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Physical Sciences,Engineering,13,2,8,12,326,21
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Physical Sciences,Environmental Science,18,6,9,18,556,39
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Health Sciences,Health Professions,15,4,12,12,321,81
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Life Sciences,Immunology and Microbiology,1,0,0,1,10,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Health Sciences,Medicine,26,8,13,23,537,55
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Life Sciences,Neuroscience,1,0,1,1,42,3
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Social Sciences,Psychology,13,4,11,12,232,42
ATITUS EDUCAÇÃO,RS,Sul,Privada,2021,Social Sciences,Social Sciences,75,12,66,68,688,273
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Social Sciences,Arts and Humanities,1,0,1,1,17,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Life Sciences,"Biochemistry, Genetics and Molecular Biology",1,1,0,1,15,3
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Social Sciences,"Business, Management and Accounting",10,3,5,10,305,50
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Physical Sciences,Computer Science,2,1,2,2,22,19
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Social Sciences,Decision Sciences,7,0,6,7,98,24
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Health Sciences,Dentistry,7,1,3,5,188,26
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Social Sciences,"Economics, Econometrics and Finance",2,0,1,1,60,5
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Physical Sciences,Engineering,5,2,2,4,137,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Physical Sciences,Environmental Science,20,6,11,16,603,36
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Health Sciences,Health Professions,8,1,7,7,134,31
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Health Sciences,Medicine,24,7,10,20,511,18
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Life Sciences,Neuroscience,1,0,1,1,31,16
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Health Sciences,Nursing,1,0,1,1,14,6
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Social Sciences,Psychology,6,0,5,5,78,24
ATITUS EDUCAÇÃO,RS,Sul,Privada,2022,Social Sciences,Social Sciences,62,11,56,62,338,164
ATITUS EDUCAÇÃO,RS,Sul,Privada,2023,Life Sciences,Agricultural and Biological Sciences,1,0,1,1,1,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2023,Social Sciences,Arts and Humanities,2,0,2,2,0,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2023,Social Sciences,"Business, Management and Accounting",1,0,1,1,0,0
ATITUS EDUCAÇÃO,RS,Sul,Privada,2023,Physical Sciences,Computer Science,1,0,1,1,4,2
